| angle     | radian |
|-----------|--------|
| 0         | 0      |
| 5         | 0.0873 |
| 10        | 0.1745 |
| 15        | 0.2618 |
| 20        | 0.3491 |
| 25        | 0.4363 |
| 30        | 0.5236 |
| 35        | 0.6109 |
| 40        | 0.6981 |
| 45        | 0.7854 |
| 50        | 0.8727 |
| 55        | 0.9599 |
| 60        | 1.0472 |
| 65        | 1.1345 |
| 70        | 1.2217 |
| 75        | 1.3090 |
| 80        | 1.3963 |
| 85        | 1.4835 |
| 90        | 1.5708 |



| 95        | 1.6581 |
| 100       | 1.7453 |
| 105       | 1.8326 |
| 110       | 1.9199 |
| 115       | 2.0071 |
| 120       | 2.0944 |
| 125       | 2.1817 |
| 130       | 2.2689 |
| 135       | 2.3562 |
| 140       | 2.4435 |
| 145       | 2.5307 |
| 150       | 2.6180 |
| 155       | 2.7053 |
| 160       | 2.7925 |
| 165       | 2.8798 |
| 170       | 2.9671 |
| 175       | 3.0543 |
| 180       | 3.1416 |





| 185       | 3.2289 |
| 190       | 3.3161 |
| 195       | 3.4034 |
| 200       | 3.4907 |
| 205       | 3.5779 |
| 210       | 3.6652 |
| 215       | 3.7525 |
| 220       | 3.8397 |
| 225       | 3.9270 |
| 230       | 4.0143 |
| 235       | 4.1015 |
| 240       | 4.1888 |
| 245       | 4.2761 |
| 250       | 4.3633 |
| 255       | 4.4506 |
| 260       | 4.5379 |
| 265       | 4.6251 |
| 270       | 4.7124 |
| 275       | 4.7997 |
| 280       | 4.8869 |
| 285       | 4.9742 |
| 290       | 5.0615 |
| 295       | 5.1487 |
| 300       | 5.2360 |
| 305       | 5.3233 |
| 310       | 5.4105 |
| 315       | 5.4978 |
| 320       | 5.5851 |
| 325       | 5.6723 |
| 330       | 5.7596 |
| 335       | 5.8469 |
| 340       | 5.9341 |
| 345       | 6.0214 |
| 350       | 6.1087 |
| 355       | 6.1959 |
| 360       | 6.2832 |
